NODE_605_length_2200_cov_2.858741_3	Pfam,Pfam,TIGRFAM,Hamap	PF00333,PF03719,TIGR01021,MF_01307_B	IPR013810,IPR005324,IPR005712	Ribosomal protein S5, N-terminal domain,Ribosomal protein S5, C-terminal domain,rpsE_bact: ribosomal protein uS5,30S ribosomal protein S5 [rpsE].	GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0015935	"NA"
NODE_6325_length_283_cov_2.491228_2	Pfam	PF01425	IPR023631	Amidase	"NA"	KEGG:00970+6.3.5.7
NODE_6326_length_283_cov_2.486842_1	Pfam	PF01950	IPR002803	Fructose-1,6-bisphosphatase	"NA"	"NA"
NODE_6328_length_283_cov_2.171053_1	Pfam	PF00534	IPR001296	Glycosyl transferases group 1	"NA"	"NA"
NODE_633_length_2125_cov_2.101449_1	Pfam,CDD,Pfam,Pfam	PF00575,cd05685,PF12836,PF16921	IPR003029,IPR032639	S1 RNA binding domain,S1_Tex,Helix-hairpin-helix motif,Tex protein YqgF-like domain	GO:0003676	"NA"
NODE_633_length_2125_cov_2.101449_2	CDD,Pfam	cd10917,PF01522	IPR002509	CE4_NodB_like_6s_7s,Polysaccharide deacetylase	GO:0005975,GO:0016810	"NA"
NODE_6330_length_283_cov_1.964912_1	Pfam	PF00534	IPR001296	Glycosyl transferases group 1	"NA"	"NA"
NODE_6333_length_283_cov_1.557018_1	Pfam	PF09581	IPR014245	Stage III sporulation protein AF (Spore_III_AF)	"NA"	"NA"
NODE_6335_length_283_cov_1.552632_1	Pfam	PF06418	IPR017456	CTP synthase N-terminus	GO:0003883,GO:0006221	KEGG:00240+6.3.4.2
NODE_6337_length_283_cov_1.241228_1	Pfam,CDD	PF04851,cd00046	IPR006935	Type III restriction enzyme, res subunit,DEXDc	GO:0003677,GO:0005524,GO:0016787	"NA"
NODE_6338_length_283_cov_1.232456_1	Pfam	PF06964	IPR010720	Alpha-L-arabinofuranosidase C-terminal domain	GO:0046373,GO:0046556	KEGG:00520+3.2.1.55
NODE_6339_length_283_cov_1.232456_1	Pfam	PF01645	IPR002932	Conserved region in glutamate synthase	GO:0006537,GO:0015930,GO:0016638,GO:0055114	"NA"
NODE_634_length_2123_cov_2.684720_1	CDD,Pfam	cd00984,PF03796	IPR007694	DnaB_C,DnaB-like helicase C terminal domain	GO:0003678,GO:0005524,GO:0006260	"NA"
NODE_634_length_2123_cov_2.684720_2	CDD,Pfam,Pfam	cd00038,PF00027,PF13545	IPR000595,IPR012318	CAP_ED,Cyclic nucleotide-binding domain,Crp-like helix-turn-helix domain	GO:0003677,GO:0006355	"NA"
NODE_634_length_2123_cov_2.684720_3	Pfam,TIGRFAM	PF05145,TIGR03082	IPR007820,IPR017516	Transition state regulatory protein AbrB,Gneg_AbrB_dup: membrane protein AbrB duplication	GO:0010468,GO:0016021	"NA"
NODE_6340_length_283_cov_1.219298_1	Pfam	PF00005	IPR003439	ABC transporter	GO:0005524,GO:0016887	"NA"
NODE_6343_length_283_cov_0.934211_1	Pfam	PF06808	IPR010656	Tripartite ATP-independent periplasmic transporter, DctM component	"NA"	"NA"
NODE_6345_length_283_cov_0.934211_1	Pfam	PF02359	IPR003338	Cell division protein 48 (CDC48), N-terminal domain	"NA"	"NA"
NODE_6346_length_283_cov_0.929825_1	Pfam,Pfam	PF12838,PF00037	IPR017896	4Fe-4S dicluster domain,4Fe-4S binding domain	"NA"	"NA"
NODE_6347_length_283_cov_0.929825_1	Pfam,CDD	PF03143,cd03707	IPR004160	Elongation factor Tu C-terminal domain,EFTU_III	"NA"	"NA"
NODE_6348_length_283_cov_0.925439_1	CDD,Pfam	cd06223,PF00156	IPR000836	PRTases_typeI,Phosphoribosyl transferase domain	GO:0009116	"NA"
NODE_6349_length_282_cov_32.656388_1	Pfam	PF00958	IPR001674	GMP synthase C terminal domain	GO:0003922,GO:0005524,GO:0006164,GO:0006177	KEGG:00230+6.3.5.2,KEGG:00983+6.3.5.2
NODE_635_length_2123_cov_2.447292_1	Pfam	PF01416	IPR020097	tRNA pseudouridine synthase	GO:0001522,GO:0003723,GO:0009451,GO:0009982	"NA"
NODE_635_length_2123_cov_2.447292_2	Hamap,Pfam	MF_01461,PF02361	IPR024919,IPR003339	Energy-coupling factor transporter transmembrane protein EcfT [ecfT].,Cobalt transport protein	GO:0005215,GO:0006810,GO:0016021	"NA"
NODE_635_length_2123_cov_2.447292_3	Pfam,TIGRFAM,CDD	PF00005,TIGR04521,cd03225	IPR003439,IPR030946	ABC transporter,ECF_ATPase_2: energy-coupling factor transporter ATPase,ABC_cobalt_CbiO_domain1	GO:0005524,GO:0016887	"NA"
NODE_6351_length_282_cov_2.176211_1	Pfam	PF08950	IPR015045	Protein of unknown function (DUF1861)	"NA"	"NA"
NODE_6354_length_282_cov_1.704846_1	Pfam,CDD	PF08264,cd07958	IPR013155	Anticodon-binding domain of tRAnticodon_Ia_Leu_BEm	GO:0000166,GO:0006418	"NA"
NODE_6355_length_282_cov_1.563877_1	Pfam	PF00771	IPR001712	FHIPEP family	GO:0009306,GO:0016020	"NA"
NODE_6356_length_282_cov_1.563877_1	Pfam	PF02514	IPR003672	CobN/Magnesium Chelatase	GO:0009058	"NA"
NODE_6357_length_282_cov_1.563877_1	Pfam	PF14310	IPR026891	Fibronectin type III-like domain	"NA"	"NA"
NODE_6358_length_282_cov_1.541850_1	Pfam	PF01116	IPR000771	Fructose-bisphosphate aldolase class-II	GO:0005975,GO:0008270,GO:0016832	"NA"
NODE_636_length_2119_cov_734.749516_1	Pfam	PF01797	IPR002686	Transposase IS200 like	GO:0003677,GO:0004803,GO:0006313	"NA"
NODE_636_length_2119_cov_734.749516_2	Pfam,Pfam	PF07282,PF01385	IPR010095,IPR001959	Putative transposase DNA-binding domain,Probable transposase	"NA"	"NA"
NODE_6360_length_282_cov_1.334802_1	Pfam	PF13692	"NA"	Glycosyl transferases group 1	"NA"	"NA"
NODE_6361_length_282_cov_1.251101_1	Pfam	PF02867	IPR000788	Ribonucleotide reductase, barrel domain	GO:0006260,GO:0055114	KEGG:00230+1.17.4.1,KEGG:00240+1.17.4.1,KEGG:00480+1.17.4.1
NODE_6363_length_282_cov_1.242291_1	Pfam	PF13377	"NA"	Periplasmic binding protein-like domain	"NA"	"NA"
NODE_6364_length_282_cov_1.229075_1	Pfam	PF03008	IPR004256	Archaea bacterial proteins of unknown function	"NA"	"NA"
NODE_6365_length_282_cov_1.215859_1	Pfam	PF00269	IPR001448	Small, acid-soluble spore proteins, alpha/beta type	GO:0003690,GO:0006265	"NA"
NODE_6366_length_282_cov_1.211454_1	Pfam	PF13361	IPR014017	UvrD-like helicase C-terminal domain	GO:0005524,GO:0016787	"NA"
NODE_6368_length_282_cov_0.986784_2	Pfam	PF08753	IPR014864	NikR C terminal nickel binding domain	"NA"	"NA"
NODE_637_length_2119_cov_2.780039_1	Pfam,Pfam	PF00557,PF01321	IPR000994,IPR000587	Metallopeptidase family M24,Creatinase/Prolidase N-terminal domain	GO:0016787	"NA"
NODE_637_length_2119_cov_2.780039_2	Pfam,CDD,Pfam,Pfam	PF00817,cd03586,PF11798,PF11799	IPR001126,IPR022880,IPR024728,IPR017961	impB/mucB/samB family,PolY_Pol_IV_kappa,IMS family HHH motif,impB/mucB/samB family C-terminal domain	GO:0006281,GO:0003887,GO:0003684	KEGG:00230+2.7.7.7,KEGG:00240+2.7.7.7
NODE_6370_length_282_cov_0.938326_1	Pfam	PF04471	IPR007560	Restriction endonuclease	GO:0003677,GO:0004519,GO:0009307	"NA"
NODE_6371_length_282_cov_0.933921_1	Pfam	PF09373	IPR018975	Pseudomurein-binding repeat	"NA"	"NA"
NODE_6372_length_282_cov_0.933921_1	Pfam,CDD,TIGRFAM	PF00237,cd00336,TIGR01044	IPR001063,IPR005727	Ribosomal protein L22p/L17e,Ribosomal_L22,rplV_bact: ribosomal protein uL22	GO:0003735,GO:0005840,GO:0006412,GO:0015934	"NA"
NODE_6375_length_282_cov_0.907489_1	Pfam	PF04406	IPR013049	Type IIB DNA topoisomerase	GO:0003677,GO:0003824,GO:0005524,GO:0005694,GO:0006259	"NA"
NODE_6376_length_282_cov_0.854626_1	Pfam	PF01699	IPR004837	Sodium/calcium exchanger protein	GO:0016021,GO:0055085	"NA"
NODE_6379_length_281_cov_23.539823_1	Pfam	PF01041	IPR000653	DegT/DnrJ/EryC1/StrS aminotransferase family	"NA"	"NA"
NODE_638_length_2118_cov_1211.735822_2	Pfam,CDD,Pfam	PF09250,cd04859,PF08708	IPR015330,IPR014820	Bifunctional DNA primase/polymerase, N-terminal,Prim_Pol,Primase C terminal 1 (PriCT-1)	"NA"	"NA"
NODE_638_length_2118_cov_1211.735822_3	Pfam	PF08706	IPR014818	D5 N terminal like	"NA"	"NA"
NODE_6381_length_281_cov_2.398230_1	Pfam	PF06580	IPR010559	Histidine kinase	GO:0000155,GO:0000160,GO:0016021	"NA"
NODE_6382_length_281_cov_2.194690_1	Pfam	PF01993	IPR002844	methylene-5,6,7,8-tetrahydromethanopterin dehydrogenase	GO:0008901,GO:0015948,GO:0055114	KEGG:00680+1.5.98.1
NODE_6383_length_281_cov_1.884956_1	Pfam	PF12804	IPR025877	MobA-like NTP transferase domain	"NA"	"NA"
NODE_6384_length_281_cov_1.884956_1	Pfam	PF13377	"NA"	Periplasmic binding protein-like domain	"NA"	"NA"
NODE_6385_length_281_cov_1.884956_1	Pfam,Pfam	PF03418,PF03418	IPR005080	Germination protease,Germination protease	GO:0006508,GO:0008233,GO:0009847	"NA"
NODE_6386_length_281_cov_1.570796_1	Pfam	PF03144	IPR004161	Elongation factor Tu domain 2	GO:0005525	"NA"
NODE_6387_length_281_cov_1.539823_1	Pfam	PF01182	IPR006148	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase	GO:0005975	KEGG:00520+3.5.99.6
NODE_639_length_2112_cov_10.790958_2	Pfam	PF04255	IPR007367	Protein of unknown function (DUF433)	"NA"	"NA"
NODE_639_length_2112_cov_10.790958_4	Pfam	PF05534	IPR008651	HicB family	"NA"	"NA"
NODE_6394_length_281_cov_1.247788_1	Pfam	PF03030	IPR004131	Inorganic H+ pyrophosphatase	GO:0004427,GO:0009678,GO:0015992,GO:0016020	KEGG:00190+3.6.1.1
NODE_6395_length_281_cov_1.234513_1	Pfam	PF01087	IPR005849	Galactose-1-phosphate uridyl transferase, N-terminal domain	GO:0006012,GO:0008108	KEGG:00052+2.7.7.12,KEGG:00520+2.7.7.12
NODE_6397_length_281_cov_1.070796_1	TIGRFAM	TIGR00024	IPR004376	SbcD_rel_arch: putative phosphoesterase	"NA"	"NA"
NODE_6399_length_281_cov_0.942478_1	Pfam	PF00534	IPR001296	Glycosyl transferases group 1	"NA"	"NA"
NODE_64_length_38124_cov_316.513042_1	TIGRFAM,Pfam,Pfam	TIGR00057,PF01300,PF03481	IPR006070,IPR005145	TIGR00057: tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family,Telomere recombination,Putative GTP-binding controlling metal-binding	GO:0003725	"NA"
NODE_64_length_38124_cov_316.513042_10	Pfam,CDD	PF01988,cd01044	IPR008217	VIT family,Ferritin_CCC1_N	"NA"	"NA"
NODE_64_length_38124_cov_316.513042_11	Pfam	PF12671	IPR024301	Putative amidase domain	"NA"	"NA"
NODE_64_length_38124_cov_316.513042_12	Pfam,CDD	PF00465,cd08187	IPR001670	Iron-containing alcohol dehydrogenase,BDH	GO:0016491,GO:0046872,GO:0055114	"NA"
NODE_64_length_38124_cov_316.513042_13	TIGRFAM,Pfam,Pfam,Pfam,Pfam	TIGR01070,PF05192,PF01624,PF00488,PF05190	IPR005748,IPR007696,IPR007695,IPR000432,IPR007861	mutS1: DNA mismatch repair protein MutS,MutS domain III,MutS domain I,MutS domain V,MutS family domain IV	GO:0005524,GO:0006298,GO:0030983	"NA"
NODE_64_length_38124_cov_316.513042_14	Pfam,CDD,CDD,Pfam,Pfam,TIGRFAM	PF08676,cd00782,cd00075,PF01119,PF13589,TIGR00585	IPR014790,IPR013507,IPR002099	MutL C terminal dimerisation domain,MutL_Trans,HATPase_c,DNA mismatch repair protein, C-terminal domain,Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase,mutl: DNA mismatch repair protein MutL	GO:0005524,GO:0006298,GO:0030983	"NA"
NODE_64_length_38124_cov_316.513042_15	Pfam,CDD,Hamap,TIGRFAM,TIGRFAM,Pfam,Pfam	PF16360,cd01878,MF_00900,TIGR00231,TIGR03156,PF01926,PF13167	IPR032305,IPR030394,IPR016496,IPR005225,IPR006073,IPR025121	GTP-binding GTPase Middle Region,HflX,GTPase HflX [hflX].,small_GTP: small GTP-binding protein domain,GTP_HflX: GTP-binding protein HflX,50S ribosome-binding GTPase,GTP-binding GTPase N-terminal	GO:0005525	"NA"
NODE_64_length_38124_cov_316.513042_16	CDD,Pfam,Pfam,TIGRFAM	cd01335,PF04055,PF13353,TIGR04085	IPR007197,IPR023885	Radical_SAM,Radical SAM superfamily,4Fe-4S single cluster domain,rSAM_more_4Fe4S: radical SAM additional 4Fe4S-binding SPASM domain	GO:0003824,GO:0051536	"NA"
NODE_64_length_38124_cov_316.513042_18	Pfam	PF04464	IPR007554	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase	GO:0016020,GO:0047355	"NA"
NODE_64_length_38124_cov_316.513042_19	Pfam	PF02492	IPR003495	CobW/HypB/UreG, nucleotide-binding domain	"NA"	"NA"
NODE_64_length_38124_cov_316.513042_2	Pfam	PF06177	IPR010387	QueT transporter	GO:0005886	"NA"
NODE_64_length_38124_cov_316.513042_20	TIGRFAM,Pfam,Pfam,Hamap	TIGR00658,PF02729,PF00185,MF_01109	IPR002292,IPR006132,IPR006131,IPR024904	orni_carb_tr: ornithine carbamoyltransferase,Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain,Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain,Ornithine carbamoyltransferase, catabolic [argI].	GO:0016743,GO:0006520,GO:0016597,GO:0004585,GO:0006591	KEGG:00220+2.1.3.3
NODE_64_length_38124_cov_316.513042_21	Pfam,CDD	PF00696,cd04235	IPR001048,IPR003964	Amino acid kinase family,AAK_CK	GO:0006525,GO:0008804	KEGG:00220+2.7.2.2,KEGG:00230+2.7.2.2,KEGG:00910+2.7.2.2
NODE_64_length_38124_cov_316.513042_22	Pfam,TIGRFAM,Hamap	PF02457,TIGR00159,MF_01499	IPR003390,IPR034701	DisA bacterial checkpoint controller nucleotide-binding,TIGR00159: TIGR00159 family protein,Diadenylate cyclase [dacA].	GO:0004016,GO:0006171	"NA"
NODE_64_length_38124_cov_316.513042_24	Pfam,Pfam,Pfam,Pfam	PF02878,PF02880,PF00408,PF02879	IPR005844,IPR005846,IPR005843,IPR005845	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I,Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III,Phosphoglucomutase/phosphomannomutase, C-terminal domain,Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II	GO:0005975,GO:0016868,GO:0071704	KEGG:00520+5.4.2.10
NODE_64_length_38124_cov_316.513042_25	CDD,TIGRFAM,Pfam,Pfam,CDD,CDD,Hamap,Pfam	cd05009,TIGR01135,PF01380,PF01380,cd05008,cd00714,MF_00164,PF13522	IPR035490,IPR005855,IPR001347,IPR035466	SIS_GlmS_GlmD_2,glmS: glutamine-fructose-6-phosphate transaminase (isomerizing),SIS domain,SIS domain,SIS_GlmS_GlmD_1,GFAT,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] [glmS].,Glutamine amidotransferase domain	GO:0004360,GO:1901137,GO:0097367,GO:1901135	KEGG:00250+2.6.1.16,KEGG:00520+2.6.1.16
NODE_64_length_38124_cov_316.513042_26	TIGRFAM,CDD,CDD,Pfam,TIGRFAM,Pfam,Hamap	TIGR00399,cd02800,cd00814,PF01588,TIGR00398,PF09334,MF_01228	IPR004495,IPR033911,IPR002547,IPR014758,IPR015413,IPR023457	metG_C_term: methionine--tRNA ligase, beta subunit,tRNA_bind_EcMetRS_like,MetRS_core,Putative tRNA binding domain,metG: methionine--tRNA ligase,tRNA synthetases class I (M),Methionine--tRNA ligase [metG].	GO:0000166,GO:0004825,GO:0005524,GO:0005737,GO:0006431,GO:0000049,GO:0004812,GO:0006418	KEGG:00450+6.1.1.10,KEGG:00970+6.1.1.10
NODE_64_length_38124_cov_316.513042_27	CDD,Pfam,TIGRFAM	cd01310,PF01026,TIGR00010	IPR001130,IPR015991	TatD_DNAse,TatD related DNase,TIGR00010: hydrolase, TatD family	GO:0016788,GO:0004536	"NA"
NODE_64_length_38124_cov_316.513042_28	CDD,Pfam,Pfam	cd07034,PF01855,PF17147	IPR002880,IPR033412	TPP_PYR_PFOR_IOR-alpha_like,Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg,Pyruvate:ferredoxin oxidoreductase core domain II	GO:0016491,GO:0055114	"NA"
NODE_64_length_38124_cov_316.513042_29	CDD,Pfam	cd03375,PF02775	IPR011766	TPP_OGFOR,Thiamine pyrophosphate enzyme, C-terminal TPP binding domain	GO:0003824,GO:0030976	"NA"
NODE_64_length_38124_cov_316.513042_3	Pfam,TIGRFAM,Hamap,TIGRFAM	PF01008,TIGR00524,MF_01678,TIGR00512	IPR000649,IPR011559,IPR005251	Initiation factor 2 subunit family,eIF-2B_rel: eIF-2B alpha/beta/delta-related uncharacterized proteins,Putative methylthioribose-1-phosphate isomerase [mtnA].,salvage_mtnA: S-methyl-5-thioribose-1-phosphate isomerase	GO:0044237,GO:0044249	KEGG:00270+5.3.1.23
NODE_64_length_38124_cov_316.513042_30	Pfam	PF01558	IPR019752	Pyruvate ferredoxin/flavodoxin oxidoreductase	GO:0016903,GO:0055114	"NA"
NODE_64_length_38124_cov_316.513042_31	Pfam,Hamap,Pfam,CDD,TIGRFAM	PF00113,MF_00318,PF03952,cd03313,TIGR01060	IPR020810,IPR000941,IPR020811	Enolase, C-terminal TIM barrel domain,Enolase [eno].,Enolase, N-terminal domain,enolase,eno: phosphopyruvate hydratase	GO:0000015,GO:0000287,GO:0004634,GO:0006096	KEGG:00010+4.2.1.11,KEGG:00680+4.2.1.11
NODE_64_length_38124_cov_316.513042_32	Pfam	PF01729	IPR002638	Quinolinate phosphoribosyl transferase, C-terminal domain	GO:0004514,GO:0009435	KEGG:00760+6.3.4.21
NODE_64_length_38124_cov_316.513042_33	Pfam,Pfam	PF02254,PF02080	IPR003148,IPR006037	TrkA-N domain,TrkA-C domain	GO:0006813,GO:0008324	"NA"
NODE_64_length_38124_cov_316.513042_34	Pfam	PF02386	IPR003445	Cation transport protein	GO:0006812,GO:0008324,GO:0055085	"NA"
NODE_64_length_38124_cov_316.513042_4	Pfam,CDD,Hamap	PF01025,cd00446,MF_01151	IPR000740	GrpE,GrpE,Protein GrpE [grpE].	GO:0000774,GO:0006457,GO:0042803,GO:0051087	"NA"
NODE_64_length_38124_cov_316.513042_5	Pfam,Pfam	PF00005,PF00664	IPR003439,IPR011527	ABC transporter,ABC transporter transmembrane region	GO:0005524,GO:0016887,GO:0006810,GO:0016021,GO:0042626,GO:0055085	"NA"
NODE_64_length_38124_cov_316.513042_6	Pfam,Pfam	PF00664,PF00005	IPR011527,IPR003439	ABC transporter transmembrane region,ABC transporter	GO:0005524,GO:0006810,GO:0016021,GO:0042626,GO:0055085,GO:0016887	"NA"
NODE_64_length_38124_cov_316.513042_7	CDD	cd06158	"NA"	S2P-M50_like_1	"NA"	"NA"
NODE_64_length_38124_cov_316.513042_8	CDD,Pfam	cd01055,PF00210	IPR008331	Nonheme_Ferritin,Ferritin-like domain	GO:0006879,GO:0008199	"NA"
NODE_64_length_38124_cov_316.513042_9	CDD,Pfam	cd03018,PF00578	IPR000866	PRX_AhpE_like,AhpC/TSA family	GO:0016209,GO:0016491,GO:0055114	KEGG:00480+1.11.1.15
NODE_640_length_2105_cov_86.651220_1	Pfam,CDD	PF02915,cd00657	IPR003251	Rubrerythrin,Ferritin_like	GO:0016491,GO:0046872,GO:0055114	"NA"
NODE_640_length_2105_cov_86.651220_2	Pfam,Hamap	PF04227,MF_01876	IPR007342	Indigoidine synthase A like protein,Pseudouridine-5'-phosphate glycosidase [psuG].	GO:0016798	KEGG:00240+4.2.1.70
NODE_640_length_2105_cov_86.651220_3	Pfam	PF00294	IPR011611	pfkB family carbohydrate kinase	"NA"	"NA"
NODE_6400_length_281_cov_0.938053_1	CDD,Pfam	cd00009,PF07724	IPR003959	AAA,AAA domain (Cdc48 subfamily)	GO:0005524	"NA"
NODE_6401_length_281_cov_0.902655_1	Pfam	PF00534	IPR001296	Glycosyl transferases group 1	"NA"	"NA"
NODE_6403_length_280_cov_2.524444_1	Pfam	PF00535	IPR001173	Glycosyl transferase family 2	"NA"	"NA"
NODE_6404_length_280_cov_2.440000_1	CDD	cd00267	"NA"	ABC_ATPase	"NA"	"NA"
NODE_6406_length_280_cov_1.800000_1	Pfam	PF01451	IPR023485	Low molecular weight phosphotyrosine protein phosphatase	"NA"	"NA"
NODE_6408_length_280_cov_1.577778_1	Pfam	PF03631	IPR017039	Virulence factor BrkB	"NA"	"NA"
NODE_641_length_2105_cov_2.420976_1	Pfam	PF00370	IPR018484	FGGY family of carbohydrate kinases, N-terminal domain	GO:0005975,GO:0016773	"NA"
NODE_641_length_2105_cov_2.420976_2	TIGRFAM,CDD	TIGR00126,cd00959	IPR011343	deoC: deoxyribose-phosphate aldolase,DeoC	GO:0004139,GO:0005737,GO:0009264	KEGG:00030+4.1.2.4
NODE_641_length_2105_cov_2.420976_3	TIGRFAM,Pfam	TIGR00126,PF01791	IPR011343,IPR002915	deoC: deoxyribose-phosphate aldolase,DeoC/LacD family aldolase	GO:0004139,GO:0005737,GO:0009264,GO:0016829	KEGG:00030+4.1.2.4
NODE_641_length_2105_cov_2.420976_4	Pfam	PF00171	IPR015590	Aldehyde dehydrogenase family	GO:0008152,GO:0016491,GO:0055114	"NA"
NODE_6411_length_280_cov_1.528889_1	Pfam	PF12127	IPR022853	SigmaW regulon antibacterial	"NA"	"NA"
NODE_6413_length_280_cov_1.262222_1	Pfam	PF00768	IPR001967	D-alanyl-D-alanine carboxypeptidase	GO:0006508,GO:0009002	"NA"
NODE_6416_length_280_cov_1.235556_2	Pfam	PF01312	IPR006135	FlhB HrpN YscU SpaS Family	GO:0009306,GO:0016020	"NA"
NODE_6417_length_280_cov_1.204444_1	Pfam	PF12176	IPR021079	Methanol-cobalamin methyltransferase B subunit	"NA"	KEGG:00680+2.1.1.90
NODE_6418_length_280_cov_1.182222_1	Pfam	PF01547	IPR006059	Bacterial extracellular solute-binding protein	GO:0006810	"NA"
NODE_6419_length_280_cov_0.946667_1	Pfam	PF06134	IPR009308	L-rhamnose isomerase (RhaA)	GO:0008740,GO:0019299,GO:0030145	KEGG:00051+5.3.1.14
NODE_642_length_2103_cov_2.152832_2	Pfam	PF02577	IPR003729	Bifunctional nuclease	GO:0004518	"NA"
NODE_6420_length_280_cov_0.942222_1	Pfam	PF14667	IPR029303	Polysaccharide biosynthesis C-terminal domain	"NA"	"NA"
NODE_6421_length_280_cov_0.937778_1	Pfam	PF00005	IPR003439	ABC transporter	GO:0005524,GO:0016887	"NA"
NODE_6423_length_279_cov_28.156250_1	Pfam	PF00535	IPR001173	Glycosyl transferase family 2	"NA"	"NA"
NODE_6424_length_279_cov_3.540179_1	Pfam	PF00872	IPR001207	Transposase, Mutator family	GO:0003677,GO:0004803,GO:0006313	"NA"
NODE_6425_length_279_cov_2.276786_1	Pfam,CDD	PF00701,cd00408	IPR002220	Dihydrodipicolinate synthetase family,DHDPS-like	GO:0008152,GO:0016829	"NA"
NODE_6426_length_279_cov_2.214286_1	Pfam	PF00465	IPR001670	Iron-containing alcohol dehydrogenase	GO:0016491,GO:0046872,GO:0055114	"NA"
NODE_6427_length_279_cov_1.901786_1	Pfam	PF03965	IPR005650	Penicillinase repressor	GO:0003677,GO:0045892	"NA"
NODE_643_length_2102_cov_266.180264_1	Pfam,CDD	PF02915,cd00657	IPR003251	Rubrerythrin,Ferritin_like	GO:0016491,GO:0046872,GO:0055114	"NA"
NODE_643_length_2102_cov_266.180264_2	Pfam,Hamap	PF04227,MF_01876	IPR007342	Indigoidine synthase A like protein,Pseudouridine-5'-phosphate glycosidase [psuG].	GO:0016798	KEGG:00240+4.2.1.70
NODE_643_length_2102_cov_266.180264_3	Pfam	PF00294	IPR011611	pfkB family carbohydrate kinase	"NA"	"NA"
NODE_6430_length_279_cov_1.776786_1	Pfam	PF00482	IPR018076	Type II secretion system (T2SS), protein F	"NA"	"NA"
NODE_6432_length_279_cov_1.584821_2	Pfam	PF12631	IPR025867	MnmE helical domain	"NA"	"NA"
NODE_6433_length_279_cov_1.584821_1	Pfam,TIGRFAM	PF01881,TIGR01877	IPR010156	CRISPR associated protein Cas6,cas_cas6: CRISPR-associated endoribonuclease Cas6	GO:0016788	"NA"
NODE_644_length_2100_cov_2.203423_1	CDD,Pfam,Pfam	cd04645,PF00132,PF00132	IPR001451	LbH_gamma_CA_like,Bacterial transferase hexapeptide (six repeats),Bacterial transferase hexapeptide (six repeats)	"NA"	"NA"
NODE_644_length_2100_cov_2.203423_3	Pfam	PF09992	IPR018711	Phosphodiester glycosidase	"NA"	"NA"
NODE_6441_length_279_cov_1.267857_1	Pfam	PF01177	IPR015942	Asp/Glu/Hydantoin racemase	GO:0006807,GO:0036361	KEGG:00471+5.1.1.3
NODE_6444_length_279_cov_1.263393_1	Pfam	PF00230	IPR000425	Major intrinsic protein	GO:0005215,GO:0006810,GO:0016020	"NA"
NODE_6445_length_279_cov_1.120536_1	Pfam	PF00749	IPR020058	tRNA synthetases class I (E and Q), catalytic domain	GO:0005524,GO:0016876,GO:0043039	"NA"
NODE_6448_length_279_cov_0.950893_1	TIGRFAM,Pfam	TIGR00121,PF03099	IPR004408,IPR004143	birA_ligase: biotin--[acetyl-CoA-carboxylase] ligase,Biotin/lipoate A/B protein ligase family	GO:0004077,GO:0006464	KEGG:00780+6.3.4.15
NODE_6449_length_279_cov_0.946429_1	CDD	cd01983	"NA"	Fer4_NifH	"NA"	"NA"
NODE_645_length_2099_cov_2.087573_1	TIGRFAM,Pfam	TIGR02124,PF02769	IPR011854,IPR010918	hypE: hydrogenase expression/formation protein HypE,AIR synthase related protein, C-terminal domain	"NA"	"NA"
NODE_645_length_2099_cov_2.087573_2	TIGRFAM,TIGRFAM,TIGRFAM,CDD,Pfam,Pfam,CDD,Pfam	TIGR00003,TIGR00003,TIGR01494,cd00371,PF00403,PF00403,cd00371,PF00122	IPR006122,IPR001757,IPR006121	TIGR00003: copper ion binding protein,TIGR00003: copper ion binding protein,ATPase_P-type: HAD ATPase, P-type, family IC,HMA,Heavy-metal-associated domain,Heavy-metal-associated domain,HMA,E1-E2 ATPase	GO:0005507,GO:0016021,GO:0030001,GO:0046872	"NA"
NODE_6451_length_279_cov_0.866071_1	Pfam,CDD	PF00155,cd00609	IPR004839	Aminotransferase class I and II,AAT_like	GO:0009058,GO:0030170	"NA"
NODE_6452_length_278_cov_27.174888_1	CDD,Pfam	cd07034,PF01855	IPR002880	TPP_PYR_PFOR_IOR-alpha_like,Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg	GO:0016491,GO:0055114	"NA"
NODE_6453_length_278_cov_15.730942_1	Pfam	PF07833	IPR012854	Copper amine oxidase N-terminal domain	"NA"	"NA"
NODE_6457_length_278_cov_1.878924_1	Pfam	PF10370	IPR018833	Domain of unknown function (DUF2437)	"NA"	"NA"
NODE_6458_length_278_cov_1.865471_1	CDD,Pfam	cd00730,PF00301	IPR024935	rubredoxin,Rubredoxin	GO:0005506	"NA"
